idx,abs_rel,d1,rmse
0995,2.721202,0.000000,6.696810
1001,2.421801,0.000000,5.986615
1002,2.571220,0.000000,6.022432
1003,2.834067,0.000000,5.809788
1004,2.629785,0.000000,6.402527
1010,2.387226,0.000000,5.947638
1011,2.815984,0.000000,6.710245
1012,2.905912,0.000000,6.467501
1021,2.423978,0.000000,6.055513
1022,1.776195,0.000000,5.684537
1023,1.878006,0.000000,5.720150
1032,2.541812,0.000000,6.391550
1033,2.830396,0.000000,6.597912
1034,2.671250,0.000000,6.552572
1038,3.007868,0.000000,6.196090
1039,2.230098,0.000000,6.346503
1048,3.797465,0.000000,6.519107
1049,2.048300,0.000000,6.018788
1052,2.511357,0.000000,6.149660
1053,3.979098,0.000000,6.552140
1057,2.032422,0.000000,6.034319
1058,2.643171,0.000000,6.390813
1075,2.042136,0.000000,6.007271
1076,2.129350,0.000000,6.197375
1077,2.784467,0.000000,6.301465
1078,2.938136,0.000000,6.613482
1079,2.353562,0.000000,5.887704
1080,2.106060,0.000000,6.108425
1081,2.248930,0.000000,5.576577
1082,1.941927,0.000000,5.976294
1083,2.867384,0.000000,6.802936
1084,3.119744,0.000000,6.485290
1088,3.325942,0.000000,6.767396
1089,2.250313,0.000000,6.017921
1090,2.992735,0.000000,6.251123
1091,2.565754,0.000000,6.057525
1092,2.771390,0.000000,6.487795
1093,2.865367,0.000000,6.605017
1094,2.771326,0.000000,6.331197
1095,3.123685,0.000000,6.406126
1096,3.655979,0.000000,6.612062
1098,2.107858,0.000000,6.086745
1099,2.046215,0.000000,6.133568
1100,2.900457,0.000000,6.479705
1101,2.192317,0.000000,5.783082
1102,2.407923,0.000000,6.227328
1103,2.101501,0.000000,5.936161
1104,2.860237,0.000000,6.303801
1106,2.238769,0.000000,5.785100
1107,1.848068,0.000000,5.836876
1108,1.537130,0.000000,5.429801
1109,3.213487,0.000000,6.708159
1117,2.095816,0.000000,6.200729
1118,3.339479,0.000000,6.551271
1119,3.583091,0.000000,6.650942
1123,2.915163,0.000000,6.446961
1124,2.053848,0.000000,6.188623
1125,2.227511,0.000000,6.266087
1126,3.627367,0.000000,7.041461
1127,1.747734,0.000000,5.506705
1128,3.141928,0.000000,6.265274
1129,1.922604,0.000000,6.009194
1130,2.002196,0.000000,5.508141
1131,3.032726,0.000000,6.717149
1135,2.777256,0.000000,6.818160
1136,3.341734,0.000000,6.970136
1144,3.460498,0.000000,6.819240
1145,1.849295,0.000000,5.954943
1146,2.273910,0.000000,5.847958
1147,2.649186,0.000000,6.431894
1148,2.495231,0.000000,6.131720
1149,3.671967,0.000000,5.817675
1150,1.621732,0.000000,5.212056
1151,1.943692,0.000000,5.700054
1152,2.490995,0.000000,6.383482
1153,4.088430,0.000000,6.856388
1154,3.327311,0.000000,6.677737
1155,3.444640,0.000000,6.089942
1156,3.586630,0.000000,6.675786
1157,3.038640,0.000000,6.738936
1158,3.462480,0.000000,6.017712
1162,2.685367,0.000000,6.013692
1163,3.068354,0.000000,6.496360
1164,3.736269,0.000000,6.623479
1165,1.800362,0.000000,5.829159
1166,2.153823,0.000000,6.112756
1167,2.682380,0.000000,6.012217
1170,2.046425,0.000000,6.117619
1171,2.673976,0.000000,6.526551
